index,para_name,W_in,W_out,lambda_center_nm,T_list2_center,valid,status,basic_mat_path
1,eulersbend_opt_etch_angle_83_h_wg_0.22_W_in_0.45_W_out_0.45_R_min_30_total_angle_deg_30_straight_length_5_N_point_501,0.45,0.45,1550,0.99966893516505,1,simulated,/data/wcli/FDTD_sim/eulersbend_opt_20260409data/dat_eulersbend_opt_20260409/eulersbend_opt_etch_angle_83_h_wg_0.22_W_in_0.45_W_out_0.45_R_min_30_total_angle_deg_30_straight_length_5_N_point_501/basic.mat
2,eulersbend_opt_etch_angle_83_h_wg_0.22_W_in_0.5_W_out_0.45_R_min_30_total_angle_deg_30_straight_length_5_N_point_501,0.5,0.45,1550,0.999604669029069,1,simulated,/data/wcli/FDTD_sim/eulersbend_opt_20260409data/dat_eulersbend_opt_20260409/eulersbend_opt_etch_angle_83_h_wg_0.22_W_in_0.5_W_out_0.45_R_min_30_total_angle_deg_30_straight_length_5_N_point_501/basic.mat
3,eulersbend_opt_etch_angle_83_h_wg_0.22_W_in_0.55_W_out_0.45_R_min_30_total_angle_deg_30_straight_length_5_N_point_501,0.55,0.45,1550,0.999327047425743,1,simulated,/data/wcli/FDTD_sim/eulersbend_opt_20260409data/dat_eulersbend_opt_20260409/eulersbend_opt_etch_angle_83_h_wg_0.22_W_in_0.55_W_out_0.45_R_min_30_total_angle_deg_30_straight_length_5_N_point_501/basic.mat
4,eulersbend_opt_etch_angle_83_h_wg_0.22_W_in_0.6_W_out_0.45_R_min_30_total_angle_deg_30_straight_length_5_N_point_501,0.6,0.45,1550,0.999032563157824,1,simulated,/data/wcli/FDTD_sim/eulersbend_opt_20260409data/dat_eulersbend_opt_20260409/eulersbend_opt_etch_angle_83_h_wg_0.22_W_in_0.6_W_out_0.45_R_min_30_total_angle_deg_30_straight_length_5_N_point_501/basic.mat
5,eulersbend_opt_etch_angle_83_h_wg_0.22_W_in_0.65_W_out_0.45_R_min_30_total_angle_deg_30_straight_length_5_N_point_501,0.65,0.45,1550,0.998737415448423,1,simulated,/data/wcli/FDTD_sim/eulersbend_opt_20260409data/dat_eulersbend_opt_20260409/eulersbend_opt_etch_angle_83_h_wg_0.22_W_in_0.65_W_out_0.45_R_min_30_total_angle_deg_30_straight_length_5_N_point_501/basic.mat
6,eulersbend_opt_etch_angle_83_h_wg_0.22_W_in_0.7_W_out_0.45_R_min_30_total_angle_deg_30_straight_length_5_N_point_501,0.7,0.45,1550,0.998414393045775,1,simulated,/data/wcli/FDTD_sim/eulersbend_opt_20260409data/dat_eulersbend_opt_20260409/eulersbend_opt_etch_angle_83_h_wg_0.22_W_in_0.7_W_out_0.45_R_min_30_total_angle_deg_30_straight_length_5_N_point_501/basic.mat
7,eulersbend_opt_etch_angle_83_h_wg_0.22_W_in_0.75_W_out_0.45_R_min_30_total_angle_deg_30_straight_length_5_N_point_501,0.75,0.45,1550,0.998154243827247,1,simulated,/data/wcli/FDTD_sim/eulersbend_opt_20260409data/dat_eulersbend_opt_20260409/eulersbend_opt_etch_angle_83_h_wg_0.22_W_in_0.75_W_out_0.45_R_min_30_total_angle_deg_30_straight_length_5_N_point_501/basic.mat
8,eulersbend_opt_etch_angle_83_h_wg_0.22_W_in_0.8_W_out_0.45_R_min_30_total_angle_deg_30_straight_length_5_N_point_501,0.8,0.45,1550,0.997849203511143,1,simulated,/data/wcli/FDTD_sim/eulersbend_opt_20260409data/dat_eulersbend_opt_20260409/eulersbend_opt_etch_angle_83_h_wg_0.22_W_in_0.8_W_out_0.45_R_min_30_total_angle_deg_30_straight_length_5_N_point_501/basic.mat
9,eulersbend_opt_etch_angle_83_h_wg_0.22_W_in_0.85_W_out_0.45_R_min_30_total_angle_deg_30_straight_length_5_N_point_501,0.85,0.45,1550,0.997717553784236,1,simulated,/data/wcli/FDTD_sim/eulersbend_opt_20260409data/dat_eulersbend_opt_20260409/eulersbend_opt_etch_angle_83_h_wg_0.22_W_in_0.85_W_out_0.45_R_min_30_total_angle_deg_30_straight_length_5_N_point_501/basic.mat
10,eulersbend_opt_etch_angle_83_h_wg_0.22_W_in_0.9_W_out_0.45_R_min_30_total_angle_deg_30_straight_length_5_N_point_501,0.9,0.45,1550,0.997448491541441,1,simulated,/data/wcli/FDTD_sim/eulersbend_opt_20260409data/dat_eulersbend_opt_20260409/eulersbend_opt_etch_angle_83_h_wg_0.22_W_in_0.9_W_out_0.45_R_min_30_total_angle_deg_30_straight_length_5_N_point_501/basic.mat
